Tariff,Goods Description,Official Description
4602191600,PALM LEAF,"BASKETS AND BAGS OF VEGETABLE MATERIALS, OF PALM LEAF, NESOI, WHETHER OR NOT LINED"
6203424518,PANT,"MEN'S TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
4819400040,PAPER BAG,"SACKS AND BAGS, INCLUDING CONES, HAVING A BASE WIDTH OF LESS THAN 40 CM, OF PAPER, NESOI"
1508900000,PEANUT LAMP OIL,"PEANUT (GROUND-NUT) OIL AND ITS FRACTIONS, REFINED, NOT CHEMICALLY MODIFIED"
9608100000,PEN,BALL POINT PENS
4911914040,PHOTO,"PICTURES, DESIGNS AND PHOTOGRAPHS, PRINTED NOT OVER 20 YEARS AT TIME OF IMPORTATION, NESOI"
3926909989,PLASTI STUFF,"ARTICLES OF PLASTICS, NESOI"
4202923131,PLASTIC BAG,"TRAVEL,SPORTS AND SIMILAR BAGS,EXCEPT BACKPACKS,OF MAN-MADE FIBER"
3926909985,PLASTIC STATUE,"ARTICLES OF PLASTICS AND ARTICLES OF OTHER MATERIALS OF HEADINGS 3901 TO 3914, NESOI"
3926909989,PLASTIC STATUE,"ARTICLES OF PLASTICS, NESOI"
3926909989,PLASTICS,"ARTICLES OF PLASTICS, NESOI"
9810002500,POOJA,"ALTARS, PULPITS, COMMUNION TABLES, SHRINES ETC IMPORTED FOR USE OF AN INSTITUTION ORGANIZED AND OPERATED FOR RELIGIOUS PURPOSES"
7323930045,POT,"COOKING WARE ARTICLES OF STAINLESS STEEL, NESOI"
3304910050,POWDER,"BEAUTY OR MAKE-UP POWDER, WHETHER OR NOT COMPRESSED, NESOI"
3307490000,ROOM PERFUME,"PREPARATIONS FOR PERFUMING/DEODERIZING ROOMS, INCLUDING ODERIFEROUS PREPARATIONS USED DURING RELIGIOUS RITES"
3307490000,ROOM SCENT,"PREPARATIONS FOR PERFUMING/DEODERIZING ROOMS, INCLUDING ODERIFEROUS PREPARATIONS USED DURING RELIGIOUS RITES"
3301905000,ROSE WATER,"CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY-PRODUCTS ETC., NESOI"
9810002500,RUDRAKSHA KIT,"ALTARS, PULPITS, COMMUNION TABLES, SHRINES ETC IMPORTED FOR USE OF AN INSTITUTION ORGANIZED AND OPERATED FOR RELIGIOUS PURPOSES"
2106909998,SANJEEVINI MIX,"FOOD PREPARATIONS NOT ELSEWHERE SPECIFIED OR INCLUDED, NOT CANNED OR FROZEN"
6211421092,SAREE,"WOMEN'S OR GIRLS' OTHER APPAREL, OF COTTON, NOT KNITTED NESOI"
0603900000,SAVUKKU,Code not found
7308400000,SCAFFOLDING,"EQUIPMENT FOR SCAFFOLDING, SHUTTERING, PROPPING OR PIT-PROPPING, OF IRON OR STEEL"
9404909670,SEAT,"ARTICLES OF BEDDING AND SIMILAR FURNISHING, NESOI"
9404909670,SEATS,"ARTICLES OF BEDDING AND SIMILAR FURNISHING, NESOI"
1515500000,SESAME OIL,"SESAME OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED"
3305100000,SHAMPOO,SHAMPOOS
9406900190,SHOWER AND ACCESSORIES,"PREFABRICATED BUILDINGS, NESOI"
3304995000,SHOWER GEL,"BEAUTY OR MAKE-UP PREPARATIONS AND PREPARATIONS FOR CARE OF THE SKIN (EXCLUDING MEDICAMENTS) NESOI, INCLUDING SUNSCREENS AND SUNTAN PREPARATIONS"
9403608081,SIDE TABLE,"WOODEN FURNITURE, NESOI"
6303990030,SILK CURTAIN,"CURTAINS, INCLUDING DRAPES, AND INTERIOR BLINDS; CURTAIN OR BED VALANCES, NOT KNITTED OR CROCHETED, CONTAINING 85 PERCENT OR MORE BY WEIGHT OF SILK"
6117104000,SILK SHAWL,"OTHER MADE UP CLOTHING ACCESSORIES, KNITTED OR CROCHETED, PARTS OF GARMENTS: SCARVES, SHAWLS, MUFFLERS, ETC., GREATER THAN OR EQUAL TO 70 PERCENT SILK"
7113111000,SILVER,"SILVER CHAINS ROPES AND SIMILAR ARTCLES PRDCD IN CONTINUS LNGTHS INCLPLAT OR GLD PLTD, WHTR O NT CUT TO LNGTH W O WO PRLS ETC FOR USE IN MNFCTR JWLRY"
7113111000,SILVER EARINGS,"SILVER CHAINS ROPES AND SIMILAR ARTCLES PRDCD IN CONTINUS LNGTHS INCLPLAT OR GLD PLTD, WHTR O NT CUT TO LNGTH W O WO PRLS ETC FOR USE IN MNFCTR JWLRY"
7113111000,SILVER JEWELRY,"SILVER CHAINS ROPES AND SIMILAR ARTCLES PRDCD IN CONTINUS LNGTHS INCLPLAT OR GLD PLTD, WHTR O NT CUT TO LNGTH W O WO PRLS ETC FOR USE IN MNFCTR JWLRY"
7115904000,SILVER NETRAM,"ARTICLES NESOI OF SILVER, INCLUDING METAL CLAD WITH SILVER"
7113111000,SILVER PENDANT,"SILVER CHAINS ROPES AND SIMILAR ARTCLES PRDCD IN CONTINUS LNGTHS INCLPLAT OR GLD PLTD, WHTR O NT CUT TO LNGTH W O WO PRLS ETC FOR USE IN MNFCTR JWLRY"
6117104000,SN SHAWL,"OTHER MADE UP CLOTHING ACCESSORIES, KNITTED OR CROCHETED, PARTS OF GARMENTS: SCARVES, SHAWLS, MUFFLERS, ETC., GREATER THAN OR EQUAL TO 70 PERCENT SILK"
1404909090,SOAP NUT,OTHER VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED
9810002500,SPATIKA MALA BEADS,"ALTARS, PULPITS, COMMUNION TABLES, SHRINES ETC IMPORTED FOR USE OF AN INSTITUTION ORGANIZED AND OPERATED FOR RELIGIOUS PURPOSES"
7323930045,SS POT,"COOKING WARE ARTICLES OF STAINLESS STEEL, NESOI"
7323999080,STEEL ITEMS,"HOUSEHOLD ARTICLES OF IRON OR STEEL, NESOI"
7323999080,STEEL STUFF,"HOUSEHOLD ARTICLES OF IRON OR STEEL, NESOI"
6815994170,STONE PILLAR,"ARTICLES, NESOI, OF STONE NESOI OR OF OTHER MINERAL SUBSTANCES NESOI"
2106909998,SUKKU BANAM,"FOOD PREPARATIONS NOT ELSEWHERE SPECIFIED OR INCLUDED, NOT CANNED OR FROZEN"
2106909998,SUKKU BANAM MIX,"FOOD PREPARATIONS NOT ELSEWHERE SPECIFIED OR INCLUDED, NOT CANNED OR FROZEN"
2914293100,SYNTHETIC CAMPHOR,SYNTHETIC CAMPHOR
6109100004,T SHIRT,"MEN'S OR BOYS' COTTON T-SHIRTS, KNIT OR CROCHETED, ALL WHITE, SHORT SLEEVES, CREW/V-NECK W/ MITERED SEAM AT CENTER OF V, NO POCKETS TRIM OR EMBROIDRY"
7323999080,TEEL WALL ART,"HOUSEHOLD ARTICLES OF IRON OR STEEL, NESOI"
3304995000,THAAI MANN SKIN CARE,"BEAUTY/MAKE-UP PREPARATIONS & PREPARATIONS FOR THE CARE OF THE SKIN (OTHER THAN MEDICAMENTS), INCLUDING SUNSCREEN OR SUN TAN PREPARATIONS, NESOI"
6206303043,TOP,"WOMEN'S BLOUSES, SHIRTS AND SHIRT-BLOUSES OF COTTON, NOT KNITTED OR CROCHETED, DESIGNED FOR USE IN HOSPITALS, CLINICS, LABORATORIES"
6307909882,TOWELS,OTHER TOWELS OF COTTON
4818100000,TP,TOILET PAPER
9403608081,TRAY,"WOODEN FURNITURE, NESOI"
0603900000,TUBEROSE,Code not found
0910300000,TUEMERIC POWDER,Code not found
0910300000,TURMERIC,Code not found
0910300000,TURMERIC POWDER,Code not found
8523510000,USB,[2022] SOLID-STATE NON-VOLATILE SEMICONDUCTOR STORAGE DEVICES
6206303045,W BLOUSE,"WOMEN'S BLOUSES, SHIRTS AND SHIRT-BLOUSES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6210508090,W C KURTA,"WOMEN'S OR GIRLS' NOT KNIT OTHER THAN MAN-MADE FIBER OTHER APPAREL, IMPREGNATED FABRIC NESOI"
6204628018,W C PANT,"WOMEN'S TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6206303045,W C TOP,"WOMEN'S BLOUSES, SHIRTS AND SHIRT-BLOUSES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6210508090,W KURTA,"WOMEN'S OR GIRLS' NOT KNIT OTHER THAN MAN-MADE FIBER OTHER APPAREL, IMPREGNATED FABRIC NESOI"
6211329081,W KURTA,"MEN'S OR BOYS' OTHER APPAREL, OF COTTON, NOT KNITTED NESOI"
6204628018,W PANT,"WOMEN'S TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6204628066,W PANT,"GIRLS' SHORTS OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6206303045,W SHIRT,"WOMEN'S BLOUSES, SHIRTS AND SHIRT-BLOUSES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
2839190000,WATERPROOFING,"SILICATES; COMMERCIAL ALKALI METAL SILICATES, OF SODIUM, EXCEPT SODIUM METASILICATES, NESOI"
6210508090,WC KURTA,"WOMEN'S OR GIRLS' NOT KNIT OTHER THAN MAN-MADE FIBER OTHER APPAREL, IMPREGNATED FABRIC NESOI"
6204628018,WC PANT,"WOMEN'S TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6204628031,WC PANT,"GIRLS' CORDUROY TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6206303045,WC TOP,"WOMEN'S BLOUSES, SHIRTS AND SHIRT-BLOUSES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
5908000000,WICKS,"TEXTILE WICKS, WOVEN, PLAITED OR KNITTED, FOR LAMPS, STOVES, LIGHTERS, CANDLES OR THE LIKE; INCANDESCENT AND TUBULAR KNITTED GAS MANTLE FABRICS"
6104621020,WOMENS COTTON PANT,"WOMEN'S BIB AND BRACE OVERALLS, KNITTED OR CROCHETED, OF COTTON, NOT INSULATED"
4421999880,WOOD ART,"ARTICLES OF WOOD, NESOI"
4421999880,WOOD STAND,"ARTICLES OF WOOD, NESOI"
6802930090,YANTRA GRANITE,"GRANITE, NESOI"
9506910030,YOGA MAT,"GYMNASIUM, OR OTHER EXERCISE ARTICLES AND EQUIPMENT, PARTS AND ACCESSORIES THEREOF, NESOI"
